Asset_ID,Asset_Type,Asset_Value(in dollar),Location,Maintenance_Cost,Age,Compliance_Status,Cybersecurity_Score,Physical_Security_Score,Vendor_Risk_Score,Employee_Access_Level,Environmental_Risk,Previous_Incidents
3,Router,22634,Network Room C,3831,8,0,17,26,88,Admin,1,2 (Data Breach)
3,Server,37963,Network Room C,83688,5,0,73,9,37,User,1,1 (Malware)
3,Server,39106,Data Center A,66040,2,0,81,6,11,Admin,1,2 (Data Breach)
1,Router,35904,Office B,21164,3,0,78,50,68,User,1,3 (Physical Theft)
3,Router,59177,Data Center A,25007,7,0,59,74,88,User,2,1 (Malware)
2,Router,80731,Office B,39911,5,0,94,16,53,Admin,1,3 (Physical Theft)
2,Router,86033,Office B,81928,7,1,15,60,89,User,3,1 (Malware)
3,Router,7184,Network Room C,6400,0,1,72,85,73,User,2,1 (Malware)
1,Laptop,30201,Network Room C,17270,3,1,47,5,8,Admin,2,2 (Data Breach)
2,Laptop,79912,Office B,29931,5,0,86,70,94,User,1,2 (Data Breach)
1,Server,21096,Data Center A,47520,6,0,60,77,99,User,1,2 (Data Breach)
2,Router,42063,Network Room C,87971,1,1,43,81,99,Admin,1,2 (Data Breach)
3,Laptop,81019,Office B,95320,8,1,58,54,17,User,1,2 (Data Breach)
1,Router,52979,Data Center A,36378,1,1,12,56,72,User,2,2 (Data Breach)
3,Server,71278,Office B,37900,4,0,56,77,62,Admin,3,0
1,Laptop,86598,Office B,56004,7,0,71,50,0,Admin,1,2 (Data Breach)
3,Laptop,75353,Data Center A,99386,3,1,30,48,92,User,1,2 (Data Breach)
2,Router,37212,Network Room C,35760,7,1,68,4,39,Admin,1,2 (Data Breach)
1,Router,62271,Data Center A,88936,10,0,93,50,72,User,2,0
2,Router,28124,Data Center A,3596,8,1,17,46,14,Admin,1,1 (Malware)
3,Server,30747,Data Center A,54702,1,1,34,58,10,Admin,3,1 (Malware)
1,Router,50375,Office B,27631,7,1,86,6,24,User,1,2 (Data Breach)
2,Server,84168,Network Room C,43142,4,0,62,52,23,User,1,3 (Physical Theft)
3,Server,2168,Office B,34822,5,0,11,91,49,Admin,3,1 (Malware)
2,Router,54926,Network Room C,16872,10,0,3,65,53,Admin,1,2 (Data Breach)
1,Router,62641,Network Room C,17162,8,0,89,60,52,Admin,3,0
1,Router,8501,Data Center A,33935,1,1,41,19,78,User,3,3 (Physical Theft)
2,Laptop,83438,Office B,48468,4,1,9,93,63,Admin,1,1 (Malware)
2,Laptop,88628,Network Room C,84920,4,1,21,32,83,Admin,1,1 (Malware)
2,Laptop,9342,Data Center A,52536,5,0,49,30,69,Admin,1,3 (Physical Theft)
1,Server,98292,Office B,7858,6,0,28,34,15,Admin,1,3 (Physical Theft)
3,Laptop,3437,Office B,85599,0,0,52,56,90,Admin,1,2 (Data Breach)
3,Server,15926,Data Center A,43658,1,1,89,72,66,Admin,1,3 (Physical Theft)
2,Router,9398,Network Room C,2864,7,0,84,42,100,Admin,3,2 (Data Breach)
2,Server,62842,Data Center A,41809,3,0,77,54,41,Admin,1,2 (Data Breach)
1,Laptop,86490,Network Room C,27663,1,1,11,76,30,User,3,0
1,Laptop,33742,Data Center A,76730,10,1,19,12,18,Admin,1,1 (Malware)
1,Server,4626,Data Center A,76945,0,0,87,14,21,Admin,2,2 (Data Breach)
1,Laptop,1828,Network Room C,28754,6,1,42,97,39,Admin,3,1 (Malware)
3,Laptop,74254,Office B,58473,0,0,91,55,51,User,1,3 (Physical Theft)
1,Laptop,77713,Data Center A,65588,0,1,67,31,92,Admin,1,1 (Malware)
2,Laptop,40736,Data Center A,56217,6,0,20,82,59,User,3,3 (Physical Theft)
3,Server,28807,Network Room C,88981,9,1,24,1,67,Admin,3,2 (Data Breach)
2,Laptop,86044,Office B,94430,7,0,2,67,90,Admin,1,3 (Physical Theft)
1,Laptop,50657,Network Room C,56564,3,0,6,14,19,Admin,2,2 (Data Breach)
1,Laptop,55426,Office B,41822,2,0,28,40,60,User,3,2 (Data Breach)
2,Laptop,57901,Data Center A,16056,0,1,74,28,89,User,2,2 (Data Breach)
1,Server,55263,Data Center A,40234,9,0,52,33,84,User,2,1 (Malware)
1,Server,20097,Office B,15010,7,1,90,23,8,User,3,1 (Malware)
3,Laptop,84032,Office B,64067,4,0,87,73,25,Admin,2,3 (Physical Theft)
2,Router,51179,Data Center A,78289,1,1,31,12,91,User,3,3 (Physical Theft)
3,Laptop,76879,Office B,42328,2,0,48,85,18,User,2,0
2,Laptop,85084,Network Room C,90944,4,1,45,14,57,Admin,3,3 (Physical Theft)
1,Router,74575,Data Center A,32139,8,1,95,38,45,User,1,1 (Malware)
3,Laptop,26722,Network Room C,70050,3,1,48,35,30,Admin,2,2 (Data Breach)
2,Router,83672,Network Room C,74986,9,0,73,27,78,User,1,2 (Data Breach)
1,Server,70680,Office B,50081,2,1,76,9,7,User,2,1 (Malware)
1,Server,55404,Data Center A,10009,8,0,34,77,63,Admin,3,3 (Physical Theft)
2,Server,9217,Network Room C,21477,1,0,4,77,89,Admin,1,3 (Physical Theft)
2,Server,74068,Network Room C,66874,2,1,53,65,11,User,3,0
2,Laptop,26268,Data Center A,97429,3,0,95,65,45,User,1,1 (Malware)
1,Router,92544,Office B,69257,7,1,28,79,6,Admin,1,3 (Physical Theft)
1,Server,42027,Data Center A,56145,7,1,66,92,2,User,2,0
2,Laptop,92746,Office B,73752,6,0,90,8,27,User,1,1 (Malware)
3,Server,5677,Data Center A,37698,0,1,63,66,91,User,1,2 (Data Breach)
3,Router,67050,Office B,26677,1,1,61,80,61,Admin,1,2 (Data Breach)
2,Server,28266,Network Room C,8923,10,0,34,48,90,Admin,3,2 (Data Breach)
2,Laptop,59496,Office B,86829,2,1,70,61,6,User,2,2 (Data Breach)
3,Laptop,72944,Office B,70453,5,0,26,6,73,Admin,1,1 (Malware)
3,Router,57540,Office B,26801,9,0,7,35,4,Admin,2,0
3,Server,51833,Data Center A,71201,4,1,27,69,26,Admin,3,3 (Physical Theft)
3,Server,51624,Office B,2499,4,1,80,30,66,Admin,3,3 (Physical Theft)
1,Laptop,88994,Data Center A,63689,2,0,0,60,50,User,2,0
1,Router,67015,Network Room C,26824,4,1,36,10,96,Admin,3,2 (Data Breach)
3,Laptop,57230,Network Room C,92810,7,1,6,81,69,User,2,1 (Malware)
3,Server,60831,Network Room C,85710,6,0,34,66,4,User,2,2 (Data Breach)
2,Laptop,14295,Network Room C,69223,6,0,43,91,61,User,2,2 (Data Breach)
3,Router,10346,Data Center A,7965,0,1,88,53,64,Admin,3,1 (Malware)
1,Server,70265,Office B,64217,10,1,85,95,30,User,1,1 (Malware)
1,Router,65012,Office B,53875,3,0,54,10,74,Admin,1,3 (Physical Theft)
3,Server,80153,Network Room C,595,5,1,99,94,14,User,2,2 (Data Breach)
3,Router,66066,Network Room C,11457,8,1,39,5,100,User,3,0
1,Laptop,90894,Data Center A,35731,5,1,100,54,36,Admin,1,3 (Physical Theft)
3,Router,26679,Office B,36690,7,1,9,87,50,User,1,1 (Malware)
1,Server,38063,Office B,79529,5,0,48,3,79,Admin,2,2 (Data Breach)
2,Server,4984,Network Room C,20450,3,0,80,44,43,User,2,1 (Malware)
3,Router,42708,Data Center A,97346,9,1,49,56,32,Admin,3,3 (Physical Theft)
2,Router,8899,Data Center A,23755,7,1,29,74,0,Admin,1,2 (Data Breach)
2,Server,73279,Office B,75360,5,0,84,58,28,User,1,2 (Data Breach)
3,Laptop,35310,Data Center A,54185,6,0,52,17,41,Admin,3,0
2,Laptop,78236,Network Room C,97673,6,1,34,76,5,User,3,1 (Malware)
2,Router,73887,Network Room C,83488,3,0,6,87,20,User,3,1 (Malware)
3,Router,65061,Office B,91146,0,1,53,12,11,Admin,1,0
3,Server,84664,Network Room C,91141,2,0,50,90,8,User,2,3 (Physical Theft)
2,Server,49744,Data Center A,26607,8,1,77,25,9,Admin,2,0
2,Server,73550,Network Room C,47194,1,0,55,66,58,Admin,1,2 (Data Breach)
2,Laptop,35721,Network Room C,74787,8,1,96,71,51,User,2,1 (Malware)
1,Server,74471,Data Center A,62146,3,0,55,70,75,Admin,2,2 (Data Breach)
2,Laptop,84605,Network Room C,14672,10,0,37,95,73,Admin,1,2 (Data Breach)
3,Router,89962,Network Room C,31971,2,0,26,83,43,Admin,2,3 (Physical Theft)
3,Laptop,79994,Network Room C,95396,1,0,93,77,20,Admin,3,1 (Malware)
1,Server,95761,Network Room C,58732,10,0,89,18,12,User,3,0
1,Router,48317,Data Center A,90473,2,0,63,62,62,User,2,3 (Physical Theft)
2,Server,34170,Data Center A,13921,4,1,49,54,12,User,1,2 (Data Breach)
1,Router,95334,Office B,58089,10,1,67,85,51,User,1,1 (Malware)
1,Router,73624,Office B,63958,0,1,68,64,26,User,2,0
1,Server,55989,Network Room C,23688,7,0,8,32,35,User,3,3 (Physical Theft)
2,Server,69252,Network Room C,96510,3,1,11,33,34,User,2,0
2,Laptop,51531,Office B,29080,8,0,94,57,40,Admin,2,3 (Physical Theft)
2,Router,22805,Data Center A,91986,2,0,61,61,6,Admin,2,0
1,Server,68338,Office B,71417,1,1,85,44,23,Admin,2,0
1,Server,49110,Office B,67669,2,1,23,49,74,User,1,3 (Physical Theft)
1,Router,36043,Data Center A,6944,9,0,30,84,47,Admin,2,1 (Malware)
2,Laptop,26633,Data Center A,50033,6,0,67,41,21,Admin,3,0
2,Router,19558,Data Center A,45934,5,1,12,18,65,User,3,3 (Physical Theft)
1,Laptop,7955,Network Room C,63492,7,1,96,25,88,User,2,0
2,Router,86510,Office B,71961,8,0,37,47,73,Admin,3,0
1,Laptop,23817,Data Center A,5630,4,0,22,50,50,Admin,3,1 (Malware)
2,Server,32547,Data Center A,64712,0,1,96,7,2,Admin,1,3 (Physical Theft)
2,Router,14543,Data Center A,95521,1,0,99,49,59,Admin,3,2 (Data Breach)
1,Server,95225,Network Room C,14594,0,0,68,68,14,Admin,1,1 (Malware)
3,Server,36182,Office B,64641,1,1,19,24,12,User,1,0
3,Server,39863,Data Center A,3156,8,1,21,94,25,Admin,2,2 (Data Breach)
3,Router,21451,Network Room C,92846,6,0,37,53,47,Admin,1,0
3,Router,20854,Data Center A,247,7,1,39,54,9,User,1,2 (Data Breach)
2,Server,87073,Network Room C,12744,1,1,50,89,75,Admin,1,3 (Physical Theft)
1,Router,13603,Office B,13365,10,1,8,26,29,Admin,3,0
1,Laptop,8135,Office B,6419,0,1,21,50,44,Admin,2,3 (Physical Theft)
2,Laptop,22042,Office B,9247,8,1,82,75,20,Admin,3,3 (Physical Theft)
2,Laptop,56079,Office B,42938,5,1,46,87,75,Admin,2,0
3,Server,54285,Network Room C,85907,0,1,95,93,45,User,3,2 (Data Breach)
2,Router,41287,Office B,73772,2,1,81,94,77,Admin,2,1 (Malware)
1,Router,88864,Office B,53226,6,1,44,27,6,Admin,3,2 (Data Breach)
3,Server,58858,Data Center A,37287,10,0,14,85,3,Admin,2,2 (Data Breach)
1,Laptop,1158,Network Room C,38557,0,1,41,74,49,User,2,2 (Data Breach)
3,Laptop,83831,Office B,82863,0,1,98,31,84,Admin,1,2 (Data Breach)
2,Server,95258,Office B,93343,7,1,31,58,67,Admin,3,0
1,Server,25982,Network Room C,77823,3,0,12,32,7,User,2,2 (Data Breach)
1,Server,15084,Data Center A,67390,10,1,62,68,24,Admin,1,1 (Malware)
3,Server,35132,Data Center A,98812,0,1,95,40,69,Admin,1,0
1,Server,65286,Office B,30692,9,1,87,37,76,User,3,1 (Malware)
2,Router,30542,Data Center A,36575,6,0,61,22,96,Admin,1,0
1,Server,13567,Network Room C,15830,7,1,10,27,6,Admin,3,1 (Malware)
3,Laptop,94565,Office B,88967,0,0,86,44,37,User,2,1 (Malware)
2,Router,22443,Network Room C,49294,6,0,58,99,92,User,3,1 (Malware)
1,Laptop,77035,Office B,6923,10,0,91,73,54,Admin,2,0
3,Router,28059,Office B,19576,2,1,80,50,93,User,2,3 (Physical Theft)
3,Laptop,34677,Data Center A,81632,0,0,96,90,32,User,1,0
3,Router,10125,Data Center A,71931,4,0,89,18,11,Admin,1,1 (Malware)
3,Server,3929,Data Center A,30915,8,1,82,22,99,Admin,2,3 (Physical Theft)
3,Server,54975,Office B,34901,4,1,68,55,74,User,2,1 (Malware)
1,Server,70333,Data Center A,29435,5,0,74,23,78,User,2,1 (Malware)
2,Laptop,89042,Data Center A,26116,2,0,31,92,62,User,2,1 (Malware)
2,Router,75929,Office B,37633,1,0,88,92,47,Admin,1,3 (Physical Theft)
2,Server,26424,Data Center A,52222,2,1,35,72,45,User,1,3 (Physical Theft)
3,Laptop,84758,Office B,79720,8,1,74,97,91,Admin,1,1 (Malware)
2,Router,51573,Data Center A,86694,9,0,40,66,4,Admin,2,2 (Data Breach)
2,Server,8511,Network Room C,87014,8,0,79,45,68,Admin,3,0
1,Router,67483,Network Room C,90817,1,1,3,61,49,User,2,1 (Malware)
3,Router,3573,Office B,1930,1,1,80,8,51,User,2,2 (Data Breach)
2,Server,45925,Office B,71344,7,0,38,63,91,Admin,2,1 (Malware)
3,Server,83372,Office B,95014,5,1,7,64,43,Admin,3,1 (Malware)
1,Server,99658,Data Center A,43805,8,1,68,14,82,User,1,1 (Malware)
3,Laptop,59346,Data Center A,51774,0,1,73,84,77,Admin,2,3 (Physical Theft)
1,Router,82905,Office B,99977,10,0,100,6,78,User,1,0
2,Router,80454,Data Center A,7893,8,1,37,52,100,User,2,0
3,Server,53229,Office B,6597,2,1,42,82,20,Admin,3,2 (Data Breach)
1,Router,46949,Data Center A,74626,4,0,9,7,72,User,2,1 (Malware)
2,Router,96373,Data Center A,79786,7,0,81,22,76,Admin,2,2 (Data Breach)
3,Router,67043,Data Center A,89517,3,1,100,8,44,Admin,3,2 (Data Breach)
2,Laptop,30998,Data Center A,16119,8,1,94,13,25,User,3,2 (Data Breach)
3,Router,54521,Office B,91978,4,1,99,61,29,User,2,2 (Data Breach)
2,Server,61242,Office B,10926,5,0,99,46,48,Admin,2,3 (Physical Theft)
3,Router,73813,Network Room C,96253,3,0,54,42,38,User,1,3 (Physical Theft)
3,Router,82906,Data Center A,49156,3,0,80,74,8,Admin,2,2 (Data Breach)
1,Router,13460,Data Center A,10455,2,0,87,21,71,Admin,3,1 (Malware)
2,Router,40930,Office B,41554,2,0,76,71,79,Admin,2,1 (Malware)
3,Server,2466,Network Room C,24572,4,0,15,2,78,User,3,2 (Data Breach)
3,Laptop,37501,Network Room C,77443,2,1,80,3,72,User,3,1 (Malware)
1,Server,53011,Data Center A,86712,9,1,4,65,100,User,2,0
3,Router,67522,Data Center A,84676,0,1,30,86,50,Admin,2,3 (Physical Theft)
1,Router,62592,Data Center A,54518,1,1,26,94,36,Admin,1,1 (Malware)
3,Server,7130,Data Center A,95202,9,1,77,56,16,Admin,2,2 (Data Breach)
1,Server,48769,Data Center A,82527,1,0,29,24,84,User,1,0
1,Server,79557,Data Center A,39975,0,1,29,80,23,Admin,2,3 (Physical Theft)
3,Server,63945,Office B,66431,1,0,57,17,58,User,2,2 (Data Breach)
2,Server,96943,Data Center A,35854,6,1,94,80,21,Admin,3,3 (Physical Theft)
1,Router,94431,Network Room C,29535,0,0,46,44,15,Admin,1,1 (Malware)
3,Server,11808,Network Room C,26422,7,1,29,0,1,User,3,0
1,Server,25942,Data Center A,25126,9,0,23,41,58,Admin,3,1 (Malware)
2,Laptop,8456,Network Room C,74619,2,0,43,24,0,User,3,0
2,Laptop,2491,Data Center A,76201,1,0,25,13,15,Admin,1,3 (Physical Theft)
2,Server,56368,Office B,78976,5,1,75,36,8,User,1,1 (Malware)
2,Router,14628,Office B,7515,0,0,49,2,21,Admin,3,3 (Physical Theft)
1,Laptop,64090,Office B,17258,2,1,100,71,31,Admin,3,1 (Malware)
3,Server,42461,Network Room C,8650,9,0,8,16,80,User,3,3 (Physical Theft)
2,Router,6551,Data Center A,79757,8,0,32,70,18,Admin,1,0
3,Laptop,88803,Office B,10711,10,0,71,60,55,Admin,1,3 (Physical Theft)
2,Router,69245,Data Center A,57435,0,0,76,56,42,User,3,3 (Physical Theft)
1,Laptop,14695,Office B,69738,8,0,97,66,33,User,2,3 (Physical Theft)
3,Laptop,13427,Network Room C,89242,10,1,93,46,92,Admin,2,3 (Physical Theft)
2,Server,1800,Data Center A,18145,9,1,99,74,5,Admin,3,2 (Data Breach)
1,Server,14222,Data Center A,32874,2,1,41,81,40,User,3,1 (Malware)
2,Laptop,50187,Data Center A,72464,6,0,12,94,7,User,2,1 (Malware)
3,Router,10437,Network Room C,87553,9,1,32,90,96,Admin,3,1 (Malware)
3,Server,96818,Office B,72725,3,0,43,14,77,Admin,2,0
1,Laptop,87933,Network Room C,56680,6,0,74,85,5,Admin,3,3 (Physical Theft)
2,Laptop,84516,Data Center A,74982,0,0,62,99,88,User,1,1 (Malware)
2,Laptop,51446,Network Room C,68763,9,0,68,61,27,User,2,3 (Physical Theft)
2,Router,15398,Office B,63340,10,0,99,64,69,Admin,2,1 (Malware)
1,Laptop,90045,Network Room C,86445,1,1,3,3,23,User,3,3 (Physical Theft)
2,Laptop,62090,Network Room C,9425,3,0,13,8,34,Admin,2,1 (Malware)
3,Laptop,7154,Office B,58638,7,0,8,85,13,User,3,1 (Malware)
2,Router,60732,Office B,68260,10,0,5,17,45,User,3,3 (Physical Theft)
2,Laptop,77945,Network Room C,92108,0,0,56,47,25,User,1,0
2,Server,42756,Office B,63347,0,1,36,44,77,User,2,1 (Malware)
3,Laptop,65612,Network Room C,65588,10,1,87,64,37,User,3,2 (Data Breach)
2,Laptop,44534,Network Room C,88423,7,0,32,34,26,User,2,1 (Malware)
2,Server,83009,Data Center A,30129,3,0,93,99,15,User,1,0
3,Server,17099,Network Room C,93815,2,1,1,24,56,User,2,0
3,Laptop,99355,Office B,75041,8,1,10,8,40,User,3,2 (Data Breach)
3,Router,70183,Data Center A,75948,7,1,21,0,33,Admin,1,2 (Data Breach)
1,Server,43906,Network Room C,78357,6,1,79,4,84,Admin,1,2 (Data Breach)
2,Laptop,93190,Data Center A,15462,10,0,69,8,43,Admin,2,2 (Data Breach)
1,Laptop,6608,Data Center A,69060,6,1,7,17,3,Admin,3,1 (Malware)
1,Router,20822,Data Center A,7130,7,1,13,69,89,User,1,0
3,Server,24081,Office B,72026,7,0,92,86,2,User,1,1 (Malware)
2,Router,44065,Office B,25335,10,0,46,66,18,Admin,1,1 (Malware)
3,Router,13924,Network Room C,57760,4,0,37,85,78,Admin,2,3 (Physical Theft)
3,Router,79534,Office B,94379,7,1,53,60,69,User,1,1 (Malware)
1,Laptop,46978,Network Room C,95519,3,0,28,91,0,Admin,3,2 (Data Breach)
1,Router,88891,Office B,93079,1,1,45,64,78,Admin,3,1 (Malware)
1,Server,20599,Office B,93941,0,1,92,34,49,Admin,2,2 (Data Breach)
3,Server,13297,Data Center A,96172,9,1,77,54,12,User,1,3 (Physical Theft)
1,Server,25465,Data Center A,31446,8,1,58,10,67,Admin,1,0
1,Router,75384,Network Room C,39902,6,1,45,70,56,User,1,2 (Data Breach)
1,Laptop,95851,Network Room C,6883,9,0,80,4,40,User,1,3 (Physical Theft)
1,Router,86071,Data Center A,176,1,1,63,79,37,Admin,1,2 (Data Breach)
1,Router,63147,Data Center A,80730,2,1,79,88,28,User,2,0
3,Laptop,23186,Network Room C,67573,4,0,88,1,0,User,1,0
3,Laptop,49283,Network Room C,83667,8,1,47,39,30,Admin,2,2 (Data Breach)
2,Router,75283,Office B,24465,7,1,8,87,21,User,1,2 (Data Breach)
2,Laptop,49657,Network Room C,84924,8,0,91,37,38,User,2,2 (Data Breach)
1,Router,56723,Network Room C,47641,5,0,53,9,67,User,1,2 (Data Breach)
1,Server,70858,Data Center A,88097,2,1,65,84,83,User,1,0
3,Server,23897,Data Center A,48173,2,0,95,73,31,Admin,3,1 (Malware)
3,Server,51043,Data Center A,98171,4,1,0,20,15,Admin,1,0
1,Server,77245,Data Center A,69073,3,0,41,46,20,User,1,0
3,Laptop,15402,Data Center A,13406,2,1,70,60,54,User,2,2 (Data Breach)
3,Laptop,26097,Office B,4094,8,0,29,11,73,User,2,0
2,Router,34857,Network Room C,76208,9,1,34,56,9,Admin,3,1 (Malware)
3,Laptop,65659,Network Room C,45372,1,0,54,62,51,Admin,3,0
2,Laptop,5800,Data Center A,1335,8,1,7,30,86,Admin,1,2 (Data Breach)
2,Router,16428,Network Room C,3252,1,0,94,87,31,Admin,2,3 (Physical Theft)
1,Router,58282,Data Center A,83935,10,0,36,95,93,User,3,1 (Malware)
1,Router,94884,Office B,95942,5,1,68,82,4,Admin,1,3 (Physical Theft)
2,Laptop,4597,Network Room C,65654,9,0,50,7,34,User,3,2 (Data Breach)
3,Router,7375,Network Room C,75603,4,1,28,25,83,User,2,3 (Physical Theft)
3,Laptop,34874,Office B,95464,4,1,74,69,97,Admin,2,3 (Physical Theft)
1,Router,53711,Office B,72671,10,0,34,94,89,User,3,2 (Data Breach)
3,Laptop,67944,Network Room C,70347,2,1,77,50,98,User,1,0
1,Router,66229,Data Center A,57180,2,1,56,10,28,Admin,3,2 (Data Breach)
3,Router,6662,Office B,58868,3,0,25,89,54,Admin,3,1 (Malware)
2,Server,59297,Network Room C,8722,10,0,6,40,47,Admin,1,2 (Data Breach)
2,Laptop,25454,Office B,33265,5,0,26,41,91,User,1,1 (Malware)
3,Router,73602,Data Center A,37442,3,1,87,95,63,Admin,2,1 (Malware)
2,Server,67593,Network Room C,89602,1,0,69,70,24,User,1,0
3,Laptop,65383,Data Center A,83126,9,1,54,98,45,User,2,3 (Physical Theft)
2,Router,13817,Data Center A,94043,10,1,68,100,84,User,3,1 (Malware)
3,Router,43196,Data Center A,77970,6,0,51,10,62,User,2,3 (Physical Theft)
3,Server,87522,Data Center A,86848,9,1,54,11,38,User,2,0
2,Laptop,46603,Network Room C,80964,2,1,56,37,1,Admin,3,3 (Physical Theft)
2,Router,46136,Network Room C,49151,4,0,69,8,32,Admin,1,2 (Data Breach)
2,Server,81872,Data Center A,76820,1,0,83,86,41,User,3,0
2,Server,94561,Data Center A,20245,9,1,17,89,52,User,3,3 (Physical Theft)
1,Laptop,13502,Network Room C,46578,8,1,21,59,71,User,2,2 (Data Breach)
1,Laptop,66624,Network Room C,58186,9,0,85,53,28,Admin,3,2 (Data Breach)
1,Server,49156,Data Center A,68564,6,0,51,14,56,Admin,1,3 (Physical Theft)
1,Router,52092,Office B,54048,3,0,36,94,74,Admin,2,3 (Physical Theft)
2,Server,61453,Office B,84596,5,1,76,6,40,User,1,2 (Data Breach)
2,Laptop,50538,Data Center A,82510,6,1,2,0,10,Admin,2,0
1,Server,31256,Network Room C,73169,0,0,15,30,52,User,2,2 (Data Breach)
3,Server,73596,Network Room C,53960,5,0,78,99,10,Admin,3,2 (Data Breach)
2,Server,2259,Network Room C,79771,1,1,14,4,24,User,3,1 (Malware)
3,Router,89038,Office B,46066,10,1,42,85,49,User,2,0
2,Router,79296,Office B,49782,1,1,37,49,59,User,2,1 (Malware)
1,Router,54963,Office B,80197,6,0,71,14,37,User,2,0
1,Server,46254,Office B,35499,9,0,59,84,84,User,3,3 (Physical Theft)
2,Laptop,15149,Office B,66926,1,0,53,25,71,Admin,1,3 (Physical Theft)
3,Laptop,68615,Data Center A,88227,4,0,100,58,30,User,3,3 (Physical Theft)
3,Server,81617,Office B,16148,8,1,73,85,26,Admin,2,1 (Malware)
2,Router,41127,Data Center A,15345,7,1,89,13,27,User,3,0
2,Router,56817,Network Room C,94983,3,0,67,65,74,User,1,3 (Physical Theft)
1,Router,75606,Office B,26478,10,1,0,25,3,User,1,1 (Malware)
2,Router,59140,Office B,97878,3,0,8,3,68,Admin,3,1 (Malware)
3,Laptop,3168,Network Room C,92756,7,1,47,79,24,User,3,2 (Data Breach)
1,Router,80001,Data Center A,91525,7,0,90,47,59,User,1,1 (Malware)
2,Server,10282,Office B,40153,2,1,96,21,34,Admin,3,0
3,Router,78136,Office B,81774,1,1,71,69,92,User,2,1 (Malware)
3,Server,49398,Office B,18455,4,0,4,38,6,Admin,3,3 (Physical Theft)
3,Router,68315,Office B,62805,5,1,47,22,20,Admin,2,2 (Data Breach)
1,Router,83956,Network Room C,13508,7,0,11,12,59,User,1,3 (Physical Theft)
3,Router,39284,Network Room C,39147,10,0,53,77,6,User,3,3 (Physical Theft)
3,Router,44140,Data Center A,59129,9,0,19,46,73,Admin,2,2 (Data Breach)
1,Laptop,15341,Network Room C,73462,3,0,82,96,19,User,1,3 (Physical Theft)
3,Router,34975,Network Room C,13416,2,0,55,54,54,Admin,1,0
3,Laptop,89704,Network Room C,44450,2,0,83,82,57,User,2,2 (Data Breach)
2,Server,45836,Data Center A,25674,3,0,44,74,33,User,3,1 (Malware)
1,Server,34201,Office B,1126,0,0,26,87,6,Admin,1,0
3,Laptop,20699,Data Center A,97099,1,0,69,0,0,Admin,3,0
3,Router,28143,Office B,82721,10,1,74,67,46,User,1,3 (Physical Theft)
1,Server,41648,Office B,80431,6,1,31,97,76,User,1,3 (Physical Theft)
2,Laptop,28641,Network Room C,21346,10,1,73,92,73,User,2,0
2,Server,62267,Office B,80024,4,0,39,17,36,User,1,1 (Malware)
3,Router,6762,Data Center A,55677,8,0,76,51,38,User,2,1 (Malware)
3,Server,34456,Office B,23534,2,0,34,70,32,Admin,3,0
3,Laptop,13934,Office B,888,7,0,29,41,57,User,2,0
1,Server,86180,Office B,4693,9,0,4,97,30,User,2,0
3,Server,82501,Network Room C,85909,7,1,75,7,48,Admin,2,1 (Malware)
2,Laptop,85177,Network Room C,96625,3,1,4,14,50,Admin,3,2 (Data Breach)
3,Server,68657,Office B,54133,8,0,48,55,17,Admin,1,3 (Physical Theft)
3,Server,42909,Data Center A,21848,10,0,64,71,31,User,2,0
2,Laptop,42794,Office B,75322,5,1,31,15,2,Admin,1,3 (Physical Theft)
1,Server,8906,Data Center A,38121,2,0,12,48,23,Admin,3,0
3,Router,30162,Office B,31118,3,1,19,58,20,User,3,3 (Physical Theft)
1,Laptop,31761,Data Center A,13129,4,0,75,97,43,Admin,3,2 (Data Breach)
1,Router,84007,Office B,79760,6,0,30,31,78,Admin,2,3 (Physical Theft)
2,Router,34171,Data Center A,87180,1,1,40,56,46,User,2,1 (Malware)
1,Server,80974,Office B,5196,6,0,18,86,49,Admin,1,2 (Data Breach)
1,Laptop,92826,Office B,29924,9,0,43,21,52,Admin,3,2 (Data Breach)
2,Server,57714,Data Center A,99589,1,1,86,5,64,Admin,2,1 (Malware)
1,Server,8110,Network Room C,95934,7,0,88,90,52,User,2,3 (Physical Theft)
2,Router,37319,Data Center A,31115,5,1,6,50,76,Admin,3,2 (Data Breach)
2,Server,84294,Office B,26709,5,1,55,23,12,Admin,3,3 (Physical Theft)
1,Router,5796,Network Room C,45223,7,1,57,53,37,User,3,3 (Physical Theft)
3,Router,61205,Network Room C,44305,2,0,100,100,29,User,2,3 (Physical Theft)
2,Router,6219,Network Room C,22194,6,1,87,34,77,User,2,3 (Physical Theft)
1,Laptop,32048,Network Room C,14871,3,0,24,18,2,Admin,1,3 (Physical Theft)
3,Server,82026,Data Center A,94052,7,1,48,33,48,Admin,1,3 (Physical Theft)
1,Laptop,18145,Network Room C,59654,5,0,79,26,93,Admin,3,3 (Physical Theft)
1,Server,88131,Office B,85223,5,0,64,89,55,User,2,0
1,Laptop,93329,Office B,30369,6,1,18,4,31,User,3,2 (Data Breach)
1,Router,49393,Network Room C,85106,5,1,30,15,79,User,3,1 (Malware)
3,Router,94661,Network Room C,39769,4,0,69,9,67,Admin,2,2 (Data Breach)
1,Router,93756,Data Center A,62197,7,0,61,56,97,Admin,2,2 (Data Breach)
3,Laptop,99160,Office B,10728,5,0,27,30,93,User,2,0
